Data,Faturamento real - indústria - índice (média 2006 = 100) - - - Confederação Nacional da Indústria - CNI12_VENREA12,
2010.09,128.5,
2010.10,124.8,
2010.11,125.2,
2010.12,119.5,
2011.01,105.4,
2011.02,114.4,
2011.03,124.4,
2011.04,114.4,
2011.05,124.9,
2011.06,123.6,
2011.07,123.5,
2011.08,131.3,
2011.09,131.1,
2011.10,129.9,
2011.11,128.6,
2011.12,123.5,
2012.01,107.4,
2012.02,109.2,
2012.03,126.2,
2012.04,112.9,
2012.05,127,
2012.06,123,
2012.07,125.4,
2012.08,138,
2012.09,128.9,
2012.10,136.4,
2012.11,131.6,
2012.12,124.1,
2013.01,114.3,
2013.02,110.2,
2013.03,126.9,
2013.04,129,
2013.05,131.4,
2013.06,129,
2013.07,132.3,
2013.08,140.9,
2013.09,136.7,
2013.10,139.6,
2013.11,132.6,
2013.12,122.6,
2014.01,116.2,
2014.02,121.4,
2014.03,125,
2014.04,124,
2014.05,129.6,
2014.06,118.7,
2014.07,125.9,
2014.08,129.7,
2014.09,134.5,
2014.10,140.3,
2014.11,130.4,
2014.12,120.8,
2015.01,106.9,
2015.02,109.4,
2015.03,126.4,
2015.04,111.6,
2015.05,116.1,
2015.06,116.1,
2015.07,117.5,
2015.08,119.9,
2015.09,122.8,
2015.10,119.7,
2015.11,111.8,
2015.12,103.4,
2016.01,91.2,
2016.02,98.5,
2016.03,108,
2016.04,100.4,
2016.05,102.1,
2016.06,106.8,
2016.07,100.9,
2016.08,105.3,
2016.09,103.4,
2016.10,98.9,
2016.11,101.4,
2016.12,97.4,
2017.01,84.5,
2017.02,87.7,
2017.03,105,
2017.04,90.2,
2017.05,103.7,
2017.06,102.1,
2017.07,102.5,
2017.08,110.2,
2017.09,107.2,
2017.10,110.6,
2017.11,108.2,
2017.12,100.9,
2018.01,89.2,
2018.02,91.1,
2018.03,104,
2018.04,97.7,
2018.05,86.7,
2018.06,111.6,
2018.07,106.7,
2018.08,115.1,
2018.09,107.6,
2018.10,110.3,
2018.11,107.5,
2018.12,97.8,
2019.01,88.8,
2019.02,92,
2019.03,96.6,
2019.04,96.9,
2019.05,102,
2019.06,97.6,
2019.07,104.1,
2019.08,108.6,
2019.09,107.6,
2019.10,114.7,
2019.11,108.1,
2019.12,96.8,
2020.01,90.9,
2020.02,93.6,
2020.03,98.1,
2020.04,70.6,
2020.05,84.5,
2020.06,96.5,
2020.07,109.6,
2020.08,112,
2020.09,121.2,
